TYPE,GEN,GNDR,AGE ,ETH,PE,ATENDC,NTRGPA,GRDNRMTIME
T,1G,F,1,P,P,PT,B,G
T,N1G,F,1,M,P,PT,B,G
T,N1G,F,1,M,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,P,P,PT,B,G
T,N1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,I,P,PT,B,G
T,N1G,F,1,M,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,N1G,F,1,M,P,FT,B,G
T,1G,F,1,W,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,1G,F,1,W,P,FT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,M,P,FT,B,G
T,N1G,F,1,M,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,1G,F,1,W,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,1G,F,1,M,P,FT,B,G
T,N1G,F,1,M,P,FT,B,G
T,N1G,F,1,M,P,PT,B,G
T,N1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,1G,F,1,B,P,FT,B,G
T,1G,F,1,M,P,FT,B,G
T,1G,F,1,W,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,N1G,F,1,B,P,FT,B,G
T,1G,F,1,P,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,1G,F,1,M,P,FT,B,G
T,N1G,F,1,W,P,FT,B,G
T,N1G,F,1,B,P,PT,B,G
T,1G,F,1,M,P,FT,B,G
T,1G,F,1,B,P,FT,B,G
T,N1G,F,1,M,P,FT,B,G
T,N1G,F,1,M,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,B,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,M,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,B,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
T,1G,F,1,W,P,PT,B,G
